"modulo","total_php","split_html","solo_logica","estado"
"inasistencia","542","411","131","ok"
"inasistenciaprueba","456","360","96","ok"
"alumnos","190","119","71","ok"
"docentes","145","109","36","ok"
"preceptores","15","13","2","ok"
"cargadocentes","57","37","20","ok"
"estadistica","77","3","74","ok"
"mesas","40","19","21","ok"
"comedor","10","8","2","ok"
"entrada","12","7","5","ok"
"dbf2mysql","23","1","22","ok"
"archivos","5","1","4","ok"
"classes","5","0","5","ok"
"mqtt","46","0","46","ok"
"prueba","109","4","105","ok"
"shell","1","0","1","ok"
